Stage Name,Real Name,Group,Instagram,Profile Pic,Kpopping Profile,Bio,ID
Bona,Kim Ji Yeon,Cosmic Girls,https://www.instagram.com/bn_95819/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_na.png,https://kpopping.com/profiles/artist/380-Bona,"She was born in Gwangyeoksi, Daegu, South Korea. She has an older brother. Bona can play the piano. Bona was a Cube trainee before and a former SM Entertainment trainee. She acted in the drama “The Best Hit” (2017). She's part of the sub-unit 'Wonder'.",77
Bongjun,Lee Bongjun,N.Sonic,https://www.instagram.com/thebj_/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bongjun.png,https://kpopping.com/profiles/artist/1878-Bongjun,Bongjun is the rapper of N.Sonic,78
Boni,Choi Euijeong,Dreamnote,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_boni_pic.png,https://kpopping.com/profiles/artist/6312-Boni,Boni is a Korean singer under iMe Entertainment. She is a member of DreamNote.,79
Boni,Shin Bo-kyung,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Boni_default_silhouette(1).png,https://kpopping.com/profiles/artist/6354-Boni,Boni is a South Korean underground R&B singer.,80
Bonkuk,Go Bonkuk,INX,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bonkuk.png,https://kpopping.com/profiles/artist/1037-Bonkuk,Bon Kuk is a South Korean singer and rapper. He is a member of the boy group INX.,81
Bora,Yoon Bo Ra,Sistar,http://instagram.com/borabora_sugar,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bora_Pose_borasquare.png,https://kpopping.com/profiles/artist/50-Bora,"Yoon Bo-ra, better known by the mononym Bora, is a
South Korean singer. She is best known as a member of
the South Korean girl group Sistar and its sub-group
Sistar19",82
Bora,Kim Bora,Cherry Bullet,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bora_default_silhouette.png,https://kpopping.com/profiles/artist/6804-Bora,,83
Boram,Boram Park,T-ara,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Boram_Pose_boramsquare.png,https://kpopping.com/profiles/artist/28-Boram,"Boram was a member of the girl group T-ARA, from it's debut in 2009 till 2017, before her debut with T-ARA, she debuted in solitary with her album ""Lucifer project Vol 1"".",84
Bori,Kim Su Young,GIRLSGIRLS,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bori.png,https://kpopping.com/profiles/artist/3805-Bori,Bori is a member of the girl group GIRLSGIRLS.,85
Boun,Im Junghak,Target,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_boun2.png,https://kpopping.com/profiles/artist/1526-Boun,Boun is one of the vocalists in Target.,86
Brother Su,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_brother_su(1).png,https://kpopping.com/profiles/artist/2226-Brother-Su,,87
Buffy,Kim Ju-hyeon,MADTOWN,https://www.instagram.com/bufonmusic/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_buffy.png,https://kpopping.com/profiles/artist/1057-Buffy,Buffy is a member of the group MADTOWN.,88
Bullet,Jin Jun Woo,VARSITY,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bullet.png,https://kpopping.com/profiles/artist/1139-Bullet,Bullet is a South Korean singer. He is the leader of the Korean pop boy group VARSITY.,89
BUMKEY,Kwon Ki Bum,TROY,http://instagram.com/bumkey84#,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bmk2.png,https://kpopping.com/profiles/artist/3878-BUMKEY,Bumkey is a member of the South Korean group Troy.,90
